business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed,price_level,formatted_phone_number,formatted_address
OPERATIONAL,"{'location': {'lat': 52.0349829, 'lng': 4.2684638}, 'viewport': {'northeast': {'lat': 52.0363715302915, 'lng': 4.269730230291501}, 'southwest': {'lat': 52.0336735697085, 'lng': 4.267032269708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,SNELWAY Rijschool Den Haag,,"[{'height': 810, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108386041203506884009"">SNELWAY Rijschool Den Haag</a>'], 'photo_reference': 'AeJbb3ewqENEmD9JzSYi-DYD1eNGMLGDy88De7BVFvHeXVdl_koBmMAtgDLjHElCGYl_xtadRdGDyogPPBHGQ-zJC6k23zYBbm4QT3w1ki7qLLBLuCOJKciQOTXl3eI-wor9QUVkSr47xK5SCvg4h1bPSwrHCx4eGm4ZQ6KV-gOWc1ylTN-v', 'width': 1440}]",ChIJoVEUCVyxxUcR0Qut4VE0BoU,"{'compound_code': '27M9+X9 The Hague, Netherlands', 'global_code': '9F4627M9+X9'}",5,ChIJoVEUCVyxxUcR0Qut4VE0BoU,GOOGLE,"['car_repair', 'store', 'point_of_interest', 'establishment']",118,"Muldersgaarde 105, Den Haag",,,none,"Muldersgaarde 105, 2542 HK Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.047943, 'lng': 4.253108}, 'viewport': {'northeast': {'lat': 52.0494048802915, 'lng': 4.254274080291503}, 'southwest': {'lat': 52.0467069197085, 'lng': 4.251576119708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,"Wittebrug Den Haag, Kerketuinen",{'open_now': True},"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116305270171977484525"">Taxi-onderneming Terlouw Wassenaar</a>'], 'photo_reference': 'AeJbb3f7o_-cfiEGRdV-ZU30V4yffFWE40XGX0MFA6RMYudqAaaCzSDAQp2FgIkLqP_ECfoA719msw_2bAoxEJt299eYyvTrJv1UFwDPEALF_F-QLDI9APRWcCGYBK_bKrU-Gu960iTAJ8v85X_eLm078nL2XonYzhZo96MlYT1Z8WiW81AJ', 'width': 3096}]",ChIJi4oNoW2xxUcRlZYbF62yQAI,"{'compound_code': '27X3+56 The Hague, Netherlands', 'global_code': '9F4627X3+56'}",4.4,ChIJi4oNoW2xxUcRlZYbF62yQAI,GOOGLE,"['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']",236,"Kerketuinenweg 36, Den Haag",,,070 308 2000,"Kerketuinenweg 36, 2544 CW Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.0346071, 'lng': 4.2677007}, 'viewport': {'northeast': {'lat': 52.0358464802915, 'lng': 4.268684480291501}, 'southwest': {'lat': 52.0331485197085, 'lng': 4.265986519708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Garage Blok & Zn.,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102287052932021589293"">hans dittmar</a>'], 'photo_reference': 'AeJbb3eJKLOXuMzhiU0v4bQen0f1zFZ3gijKWYJYU_fihKMlNQE5S2c3vBbvhzp_P1BKKxlz5eFskJvXjP3ypzAImQsZVYy0UIfdA1L7lhQFt1sXrGvzt1DPS2A1yJOEFKCXNbp4DCVJV99Wmw-4Yf1YtrXR9nUFybRaL1yTJVwRCU0s2uPb', 'width': 5312}]",ChIJdyT5AlyxxUcRIepy-VXCCmA,"{'compound_code': '27M9+R3 The Hague, Netherlands', 'global_code': '9F4627M9+R3'}",4.1,ChIJdyT5AlyxxUcRIepy-VXCCmA,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",12,"Bierbrouwersgaarde 16-18, Den Haag",,,070 329 1783,"Bierbrouwersgaarde 16-18, 2542 HN Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.04363129999999, 'lng': 4.2648075}, 'viewport': {'northeast': {'lat': 52.04500898029149, 'lng': 4.266206230291502}, 'southwest': {'lat': 52.04231101970849, 'lng': 4.263508269708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Autobedrijf ""Ruimzicht""",{'open_now': True},"[{'height': 5312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109069539623617488806"">Mumun Hashim</a>'], 'photo_reference': 'AeJbb3cPEI3X1WFqNNUVx8V7mShjKxBzpDCzXNRdiBq58pp_j9GMr4_BPynuLPKNBTXbGsxblBqVUwpCFqpF3EEr2a_iEVeEtJN5B28co-CpjEmYV10VUTrrq_ZDwTeRCnYG-Kv2HRU1HGYzQ0xdDegqQ-3aezGr6AnQqtVVMg3_XSDQDMBi', 'width': 2988}]",ChIJ8UGBQUKxxUcRGA7Gvj8KjkE,"{'compound_code': '27V7+FW The Hague, Netherlands', 'global_code': '9F4627V7+FW'}",4.7,ChIJ8UGBQUKxxUcRGA7Gvj8KjkE,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",25,"Ruimzicht 11+27+29, Den Haag",,,070 366 0306,"Ruimzicht 11+27+29, 2543 RJ Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.03422200000001, 'lng': 4.266923}, 'viewport': {'northeast': {'lat': 52.0356283302915, 'lng': 4.268309630291503}, 'southwest': {'lat': 52.03293036970851, 'lng': 4.265611669708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Autobedrijf Moerwijk,{'open_now': True},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103957739489115548220"">William de bont</a>'], 'photo_reference': 'AeJbb3c_XuqYb0D7v1iQK4mQ-EDkOn-k4dIwByP0y7C9qwNBkJ_p6Gu7ptl9hef62762vWnb7JaWtLrEs5rZ4FW7mghaNA2rFEivVWb78tcyh6JCL-K0tTSbHvSOv9JEzxpRzohkV3fkqFtqicJa7q9j4c59pLE27o50hWe8ANoOC44r_ZRj', 'width': 3456}]",ChIJ4dgdGrS2xUcRSixDzX-g8yU,"{'compound_code': '27M8+MQ The Hague, Netherlands', 'global_code': '9F4627M8+MQ'}",4.3,ChIJ4dgdGrS2xUcRSixDzX-g8yU,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",38,"Bierbrouwersgaarde 32, Den Haag",,,070 367 6795,"Bierbrouwersgaarde 32, 2542 HN Den Haag, Netherlands"
CLOSED_TEMPORARILY,"{'location': {'lat': 52.0463323, 'lng': 4.2511965}, 'viewport': {'northeast': {'lat': 52.0477391302915, 'lng': 4.252460530291502}, 'southwest': {'lat': 52.0450411697085, 'lng': 4.249762569708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Canvas B.V.,,,ChIJP0tNAHKxxUcR2G76dST1ljw,"{'compound_code': '27W2+GF The Hague, Netherlands', 'global_code': '9F4627W2+GF'}",,ChIJP0tNAHKxxUcR2G76dST1ljw,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",,"De Werf 6, Den Haag",TRUE,,none,"De Werf 6, 2544 EK Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.0495233, 'lng': 4.2577346}, 'viewport': {'northeast': {'lat': 52.0507819802915, 'lng': 4.258838580291502}, 'southwest': {'lat': 52.0480840197085, 'lng': 4.256140619708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,R. van Dijk Garage,{'open_now': True},,ChIJQ86wX2uxxUcRi5-TpibHhpA,"{'compound_code': '27X5+R3 The Hague, Netherlands', 'global_code': '9F4627X5+R3'}",4.8,ChIJQ86wX2uxxUcRi5-TpibHhpA,GOOGLE,"['car_repair', 'car_dealer', 'store', 'point_of_interest', 'establishment']",46,"Zilverstraat 54, Den Haag",,,070 366 3070,"Zilverstraat 54, 2544 EL Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.05168949999999, 'lng': 4.2720985}, 'viewport': {'northeast': {'lat': 52.0529969302915, 'lng': 4.273354480291502}, 'southwest': {'lat': 52.0502989697085, 'lng': 4.270656519708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Led & Styling,{'open_now': True},,ChIJPQA4DNS2xUcRuDtqKok0KsM,"{'compound_code': '372C+MR The Hague, Netherlands', 'global_code': '9F46372C+MR'}",,ChIJPQA4DNS2xUcRuDtqKok0KsM,GOOGLE,"['car_repair', 'point_of_interest', 'store', 'establishment']",,"Hooghalenstraat 224, Den Haag",,,06 14576516,"Hooghalenstraat 224, 2545 WJ Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.0591423, 'lng': 4.274223699999999}, 'viewport': {'northeast': {'lat': 52.0604831802915, 'lng': 4.275464030291501}, 'southwest': {'lat': 52.0577852197085, 'lng': 4.272766069708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Garagebedrijf Schouman,{'open_now': True},"[{'height': 607, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109905723349831251652"">Garagebedrijf Schouman</a>'], 'photo_reference': 'AeJbb3f7eEMHpwnem0RZdmEl0nu9Q_dcptLrdgslaRl8XihjmI-Rw4ksyz6wOzYtUw4k2nYowtaHepQrkW_TVSfAjBhHQLw1A1AGlZUjfztMov8gr8B0llqPmdkdwNAjO7DSERtHvbSsJEjblnW1_gLDc05VHn9Lrxzjf5DkXyt3IbiCq7An', 'width': 1080}]",ChIJFd80ETuxxUcRL6Xc1fsMNgg,"{'compound_code': '375F+MM The Hague, Netherlands', 'global_code': '9F46375F+MM'}",3.8,ChIJFd80ETuxxUcRL6Xc1fsMNgg,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",27,"Driebergenstraat 158, Den Haag",,,070 329 2767,"Driebergenstraat 158, 2546 BP Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.0523831, 'lng': 4.2560003}, 'viewport': {'northeast': {'lat': 52.05369883029149, 'lng': 4.257296480291502}, 'southwest': {'lat': 52.0510008697085, 'lng': 4.254598519708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Garagebedrijf Dennis,{'open_now': True},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107058973908715969319"">Mark</a>'], 'photo_reference': 'AeJbb3e1RHYu_S93xoFWqIjJiwkAm5SntTKzaE1v7l0BAgc4EwdedJeXNEfur_8SaOzP5Sysd6raj8XelKtD72aCnNVTG9u0d-E0d6cSsb2cxHmQO9Z9odyhFaBslWbA8K96Mua4ZG7W8jhb1Ae4MfEnfrBamptHMZGGSOl1D00h8kwdIxLs', 'width': 3456}]",ChIJfXQoFBOxxUcRyCP7HMnGL9Y,"{'compound_code': '3724+XC The Hague, Netherlands', 'global_code': '9F463724+XC'}",4.9,ChIJfXQoFBOxxUcRyCP7HMnGL9Y,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",69,"Goudlaan 63, Den Haag",,,070 308 0596,"Goudlaan 63, 2544 EG Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.05243609999999, 'lng': 4.255911499999999}, 'viewport': {'northeast': {'lat': 52.05373623029149, 'lng': 4.257258080291502}, 'southwest': {'lat': 52.05103826970849, 'lng': 4.254560119708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Garage Raymond,{'open_now': True},"[{'height': 5312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105189726464078775965"">Ed Nederhof</a>'], 'photo_reference': 'AeJbb3ek_ayJ655hcN2oTj7xBDzfSfleqVx5nde5ClasnDLK7h0A6BcN4leNkMzFIoucwgBBah3T025rBlcPkncSKTsAVVJVyXUIgo0nLbi1Wq3OzyJiP42XQuQZyNxrAh_ja625cANkAn2cAs5j6It01aMN0iKSINx5klxV_RW3rxz2941d', 'width': 2988}]",ChIJrbO_FhOxxUcRCYvCB7ESl6Q,"{'compound_code': '3724+X9 The Hague, Netherlands', 'global_code': '9F463724+X9'}",4.7,ChIJrbO_FhOxxUcRCYvCB7ESl6Q,GOOGLE,"['car_repair', 'point_of_interest', 'store', 'establishment']",50,"Goudlaan 65, Den Haag",,,070 309 7191,"Goudlaan 65, 2544 EG Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.05191259999999, 'lng': 4.2575577}, 'viewport': {'northeast': {'lat': 52.05329778029149, 'lng': 4.258943980291503}, 'southwest': {'lat': 52.05059981970849, 'lng': 4.256246019708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Zeeuw & Zeeuw Kia Den Haag,{'open_now': True},"[{'height': 3101, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102806674436168813965"">Zeeuw &amp; Zeeuw Kia Den Haag</a>'], 'photo_reference': 'AeJbb3fgVguxwc_BtnPQVzkeiKf_GyliyoQswXlDbvE3hlrKlHbQ18tIMZXOl6al95tiDrlw2F3W-74qj8ylre7Eh6M-aNIhpfhv-bkveW4DTfhZHeJC6RmrNO8_KPYsBzyHpdnwYhY1rmgSvUbivJZcpxI1KrH4z1AXo4YarZPdKCS8urKp', 'width': 5512}]",ChIJq8I3A22xxUcR3l_1W6G-v3A,"{'compound_code': '3725+Q2 The Hague, Netherlands', 'global_code': '9F463725+Q2'}",4.3,ChIJq8I3A22xxUcR3l_1W6G-v3A,GOOGLE,"['car_rental', 'car_repair', 'insurance_agency', 'car_dealer', 'point_of_interest', 'store', 'establishment']",202,"Goudlaan 4, Den Haag",,,070 366 6100,"Goudlaan 4, 2544 EG Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.051965, 'lng': 4.258166999999999}, 'viewport': {'northeast': {'lat': 52.0532554802915, 'lng': 4.259495280291502}, 'southwest': {'lat': 52.05055751970851, 'lng': 4.256797319708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Autobedrijf Roberts Kerketuinen BV,{'open_now': True},"[{'height': 1336, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109802667939269251156"">Autobedrijf Roberts Kerketuinen BV</a>'], 'photo_reference': 'AeJbb3dRpo4rx5geiPOb7SXj7BF1JNma5o6M1oU-h5XRG5OjDRe7nk8-scMGHAsO-AJ_je6LjGl3PDgBhq9XW4sokS7ITlbH5nrYtbtpDeQmZ5VpY57s-PYwJRosSyJSRVgkFU5mzkEDDqcj2sDVaYiLYBXy4caZcjJgJExuBeYOGorUVJMC', 'width': 2374}]",ChIJv56ToRSxxUcRWkbnrCOADA8,"{'compound_code': '3725+Q7 The Hague, Netherlands', 'global_code': '9F463725+Q7'}",4.1,ChIJv56ToRSxxUcRWkbnrCOADA8,GOOGLE,"['car_repair', 'car_dealer', 'point_of_interest', 'store', 'establishment']",93,"Kerketuinenweg 15, Den Haag",,,070 412 0120,"Kerketuinenweg 15, 2544 CV Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.05300459999999, 'lng': 4.270084199999999}, 'viewport': {'northeast': {'lat': 52.05441948029149, 'lng': 4.271363430291502}, 'southwest': {'lat': 52.05172151970849, 'lng': 4.268665469708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,XC Parts,{'open_now': True},,ChIJ31SA2D6xxUcRL98lyiZ9wX0,"{'compound_code': '373C+62 The Hague, Netherlands', 'global_code': '9F46373C+62'}",,ChIJ31SA2D6xxUcRL98lyiZ9wX0,GOOGLE,"['car_repair', 'point_of_interest', 'store', 'establishment']",,"Meppelweg 248, Den Haag",,,06 41964600,"Meppelweg 248, 2544 BE Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.0509391, 'lng': 4.2728743}, 'viewport': {'northeast': {'lat': 52.0524319302915, 'lng': 4.274403430291501}, 'southwest': {'lat': 52.0497339697085, 'lng': 4.271705469708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Poetsbedrijf Leyweg,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114953273570294072569"">André Harder</a>'], 'photo_reference': 'AeJbb3dB7x050bSBUtADq8JSimR6wMtSMY1lVZMoTD7K3_EkLP_HVZ-_JpEyfIAsZhPOa8dBVFrU3foRejmqAmHuKu-T6NG4PLozB1dFcKTkj_-YjGsv1otWMUMkr0o9Nc7NsL9u_C_BjiZf5zceLRYK29jD0P00RWxC1rxwHGnz2592bLSY', 'width': 3024}]",ChIJxQs3kTixxUcRx1n3OUsKoW8,"{'compound_code': '372F+94 The Hague, Netherlands', 'global_code': '9F46372F+94'}",4.7,ChIJxQs3kTixxUcRx1n3OUsKoW8,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",45,"Leyweg 515 A, Den Haag",,,06 33337070,"Leyweg 515 A, 2545 GD Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.0586484, 'lng': 4.2739385}, 'viewport': {'northeast': {'lat': 52.0600033302915, 'lng': 4.275367430291502}, 'southwest': {'lat': 52.0573053697085, 'lng': 4.272669469708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Vastgoed Service,,,ChIJjY8zDDuxxUcRHI7DdL3c2UE,"{'compound_code': '375F+FH The Hague, Netherlands', 'global_code': '9F46375F+FH'}",,ChIJjY8zDDuxxUcRHI7DdL3c2UE,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",,"Driebergenstraat 207, Den Haag",,,none,"Driebergenstraat 207, 2546 BE Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.0519108, 'lng': 4.259460199999999}, 'viewport': {'northeast': {'lat': 52.05346408029149, 'lng': 4.260575230291503}, 'southwest': {'lat': 52.05076611970849, 'lng': 4.257877269708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,JouwVoertuig,{'open_now': True},,ChIJS_ZF2rSxxUcRVHR3ZZ2Mxl8,"{'compound_code': '3725+QQ The Hague, Netherlands', 'global_code': '9F463725+QQ'}",4.4,ChIJS_ZF2rSxxUcRVHR3ZZ2Mxl8,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",7,"Kerketuinenweg 2, Den Haag",,,085 060 8898,"Kerketuinenweg 2, 2544 CW Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.05076949999999, 'lng': 4.258669900000001}, 'viewport': {'northeast': {'lat': 52.0520079302915, 'lng': 4.260202530291503}, 'southwest': {'lat': 52.0493099697085, 'lng': 4.257504569708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Slager Automaterialen B.v.,{'open_now': True},,ChIJwT-0shSxxUcRTZm5J4aWm98,"{'compound_code': '3725+8F The Hague, Netherlands', 'global_code': '9F463725+8F'}",3.2,ChIJwT-0shSxxUcRTZm5J4aWm98,GOOGLE,"['car_repair', 'point_of_interest', 'store', 'establishment']",12,"Zilverstraat 27, Den Haag",,,0800 3535035,"Zilverstraat 27, 2544 EJ Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.0496057, 'lng': 4.257892900000001}, 'viewport': {'northeast': {'lat': 52.05082793029149, 'lng': 4.258917730291502}, 'southwest': {'lat': 52.04812996970849, 'lng': 4.256219769708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,FANI AUTO'S Garage,{'open_now': True},"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113668149328032449750"">FANI AUTO&#39;S Garage</a>'], 'photo_reference': 'AeJbb3f77pNEdMJU783zCTQ6-kmmxZZohUz0ZEb9cOhtYBGsd4swfFVVK1FaEDDWmNSKAAv-JkG-rzncNFKXkVV_tvd-0YJ5EbtH3kviqBNA1br5_uFXs2XLDhXVir7LUarz6TePEst06sOuQFUZd0F3eGCNH2tjQCqyiHwh95h5qEckwC6A', 'width': 1024}]",ChIJg6aXiLyxxUcRX76DouifDlU,"{'compound_code': '27X5+R5 The Hague, Netherlands', 'global_code': '9F4627X5+R5'}",4.6,ChIJg6aXiLyxxUcRX76DouifDlU,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",12,"Zilverstraat 52, Den Haag",,,06 33449596,"Zilverstraat 52, 2544 EL Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.050846, 'lng': 4.2573184}, 'viewport': {'northeast': {'lat': 52.0522707802915, 'lng': 4.258577280291503}, 'southwest': {'lat': 52.0495728197085, 'lng': 4.255879319708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Has Car Center,{'open_now': True},"[{'height': 962, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111992026613868175962"">Has Car Center</a>'], 'photo_reference': 'AeJbb3dApUc0MBaVluXRHYWBQ6VNNJ2gVCb9rYc2ih8gltTHWT_8AObauVSTYCOBM6cMMvSEZZ17ofwMQsrB6fvV52KS53sDXj2EOtLWRcyRHhWCrxxMKfmZlTbf1bvbSbElZK7X7bc_uuxqXLvGhy4el5D34LEvDQmk06NOnyy_VCIvz6Fl', 'width': 1920}]",ChIJVVWFVBOxxUcRiEzeEvLbvkY,"{'compound_code': '3724+8W The Hague, Netherlands', 'global_code': '9F463724+8W'}",3.9,ChIJVVWFVBOxxUcRiEzeEvLbvkY,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",41,"Kerketuinenweg 12, Den Haag",,,070 347 5595,"Kerketuinenweg 12, 2544 CW Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.068444, 'lng': 4.28285}, 'viewport': {'northeast': {'lat': 52.06984323029149, 'lng': 4.284254030291502}, 'southwest': {'lat': 52.0671452697085, 'lng': 4.281556069708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,GVB Autoparts & Security,{'open_now': False},"[{'height': 1002, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104313648078008635672"">Stylus Design</a>'], 'photo_reference': 'AeJbb3f-p0ypuzWXq4QcbVsMur7Du1v_suuH9YsYFCarn28RAq1msAzfPEA7ZYpoEY3ruMtyNHcbyH6W1fOtlGWqu_gbg2znlFw13a38Ed6ZWIJjHhrf_VKwLyxyKjED7ZPrdiPCpd1jKW-DmkCvfrfEVHecIkJ_-6nLprVdggk-kdB7pOZ3', 'width': 1125}]",ChIJ-ypW_yixxUcRTLwDkPkLakw,"{'compound_code': '379M+94 The Hague, Netherlands', 'global_code': '9F46379M+94'}",4.7,ChIJ-ypW_yixxUcRTLwDkPkLakw,GOOGLE,"['car_repair', 'store', 'point_of_interest', 'establishment']",170,"144, Apeldoornselaan Den, Den Haag",,,070 345 8513,"144, Apeldoornselaan Den, 2573 LS Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.0675039, 'lng': 4.2891185}, 'viewport': {'northeast': {'lat': 52.0690071302915, 'lng': 4.290485380291503}, 'southwest': {'lat': 52.0663091697085, 'lng': 4.287787419708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Escamp Service,,,ChIJT3vApSuxxUcRrR1c7GCzlmM,"{'compound_code': '379Q+2J The Hague, Netherlands', 'global_code': '9F46379Q+2J'}",5,ChIJT3vApSuxxUcRrR1c7GCzlmM,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",4,"Cilliersstraat 43, Den Haag",,,070 364 0532,"Cilliersstraat 43, 2572 AS Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.0630404, 'lng': 4.2790139}, 'viewport': {'northeast': {'lat': 52.0643513302915, 'lng': 4.280386680291502}, 'southwest': {'lat': 52.0616533697085, 'lng': 4.277688719708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Garagebedrijf R A Smit,{'open_now': True},"[{'height': 1702, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109004184329423770630"">Garagebedrijf R A Smit</a>'], 'photo_reference': 'AeJbb3d6yLkYcXR-7dTSUkxF35yLKjyAxSHN2ml1s8eFbyqz73YjG1qKzeGlyNK9oxt3gck9k6RG3uch-IFOEw6ihq25fBWIccnE8rAHPRh8IRYx0RpONlW6m89zICUPNGezdpPwzRvC6wbTiyhj47jaH4zHzf5xbKzYN4ncWy3FXUqY2e2a', 'width': 3024}]",ChIJv2pkfiWxxUcR6_s_t2pT794,"{'compound_code': '377H+6J The Hague, Netherlands', 'global_code': '9F46377H+6J'}",4.8,ChIJv2pkfiWxxUcR6_s_t2pT794,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",59,"Vlasakkersstraat 31, Den Haag",,,070 363 5217,"Vlasakkersstraat 31, 2574 SB Den Haag, Netherlands"
OPERATIONAL,"{'location': {'lat': 52.0618273, 'lng': 4.285824}, 'viewport': {'northeast': {'lat': 52.0631990802915, 'lng': 4.287231530291503}, 'southwest': {'lat': 52.0605011197085, 'lng': 4.284533569708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Garage Veldhuis,,,ChIJHT7g3S2xxUcRKNbsSkfMu_E,"{'compound_code': '376P+P8 The Hague, Netherlands', 'global_code': '9F46376P+P8'}",4.6,ChIJHT7g3S2xxUcRKNbsSkfMu_E,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",31,"Vierhoutenstraat 3, Den Haag",,,070 406 1950,"Vierhoutenstraat 3, 2573 VM Den Haag, Netherlands"
